id,reviews,Positive,Neutral,Negative,Total Reviews,hid,name,city,distance_from_center,price,tax,hotel_type,rating_value,image_urls,hotel_link
5454116700430848498,[],0.0,0.0,0.0,0.0,htl_id_seo_5454116700430848498,Mosaic Hotel and Restaurant,Gonda,2.8 km drive to Gonda Junction Railway Station,646,+ ₹153 taxes & fees,Hotel,2.5/5,"['https://r1imghtlak.ibcdn.com/6932a9802d2711ee91140a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/1ed1587c091a11ee9a660a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/1f35075a091a11ee9d670a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/1fbe71ca091a11ee9c610a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202306121747337557-ee08c102091a11ee9b890a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-5454116700430848498/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
1200601176808671343,[],0.0,0.0,0.0,0.0,htl_id_seo_1200601176808671343,"Hotel White Stone, Gonda",Gonda,2.0 km drive to Gonda Junction Railway Station,1357,+ ₹349 taxes & fees,Hotel,3.2/5,"['https://r1imghtlak.ibcdn.com/b6770b56-9f19-432f-882c-a6807ac923d1.png?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/b6770b56-9f19-432f-882c-a6807ac923d1.png?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/e0eea688be5211ee8b880a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/1424fe7ca9df11eeb5e70a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/e6dade02-b114-4804-94bc-9762dc16a168.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/035b97fd-53b6-4b82-8104-1546c2652454.jpg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-1200601176808671343/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
9088783560323685260,[],0.0,0.0,0.0,0.0,htl_id_seo_9088783560323685260,HOTEL RAMSEWKA RESIDENCY,Gonda,2.4 km drive to Gonda Junction Railway Station,1960,+ ₹456 taxes & fees,Guest House,4.1/5,"['https://r1imghtlak.ibcdn.com/8ad224b8839811eeb2de0a58a9feac02.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/8ad224b8839811eeb2de0a58a9feac02.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/a1de49a2839811eead180a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/c2dd1a06850b11eea38d0a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/781163c8851611eebba80a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/77f49e50851611ee82270a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-9088783560323685260/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
6154590608179772312,"['dirty hotel and there was bad smell coming from room. ****', 'The rooms were clean, very comfortable, and the staff was amazing. They went over and beyond to help make our stay enjoyable. I highly recommend this hotel for anyone visiting downtown.a lots of thanks to all members...By Er. Anjani Pandey****', 'Services was improved as ealier, deservered a second chance ****', ""This is creep hotel . Don't come here if it is free \nThis is not at all a ok hotel to stay \nStay at railway plateform instead of staying here ****"", 'Worst hotel ,dont come here if it is free \nCreepy area creepy people . They only think about saving money nothing else \nNo fan no ac no backup no wifi all are fake****', ""This hotel is very useless room is small room dirty smell Small bathroom blanket smells bad. it's a very useless experience don't book ****"", 'better than good 👍 hotel manager and owner is very careful.\nhelpful staff ****', 'Nice hotel, nice staff, and manager/owner behaviour is also good, near to railway station, easy to locate, good hotel at lowest price than others.****', 'There were better hotels in Gonda but they were not listed. We found out later. This one is located past the railway station in a secluded location. Only one man was looking after almost everything. No food, etc.****']",0.45815321877598764,0.1837554421275854,0.3580913232639432,9.0,htl_id_seo_6154590608179772312,Hotel Raj Ganga,Gonda,730 m drive to Gonda Junction Railway Station,799,+ ₹187 taxes & fees,Hotel,2.8/5,"['https://r1imghtlak.ibcdn.com/18401dcc35b811ec904e0a58a9feac02.jfif?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/18401dcc35b811ec904e0a58a9feac02.jfif?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/b8076fce438f11ec92d50a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/18dc0a8435b811ec88380a58a9feac02.jfif?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/7dec2262438f11ec86680a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/7e71dc04438f11ec97c90a58a9feac02.jpeg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-6154590608179772312/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
1817253331363804034,[],0.0,0.0,0.0,0.0,htl_id_seo_1817253331363804034,Yashmay Villa Club & Resort,Gonda,7.8 km drive to Gonda Junction Railway Station,2886,+ ₹716 taxes & fees,Hotel,4.5/5,"['https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202103251143451246-ffed9b10a3e111eeb0a70a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202103251143451246-ffed9b10a3e111eeb0a70a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/5c12f302c4f311eb9a8e0242ac110004.png?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/84dc422ac4f311eb98620242ac110004.png?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/5d0ac73ac4f311eba64f0242ac110004.png?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/5b2ddd34028911ec974d0a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-1817253331363804034/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
8469088166950410859,[],0.0,0.0,0.0,0.0,htl_id_seo_8469088166950410859,Hotel Shalimar,Gonda,3.6 km drive to Gonda Junction Railway Station,1597,+ ₹380 taxes & fees,Hotel,3.1/5,"['https://r1imghtlak.ibcdn.com/5d6b4d88b9cb11eea9740a58a9feac02.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/5d6b4d88b9cb11eea9740a58a9feac02.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/fd2e771484bc11ec9c450a58a9feac02.jfif?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/37c8401f-a2b3-4417-9590-a53e467df0bd.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/514ddf79-a3d1-430c-8b93-339ead7ba404.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/a11cabe2-92e7-41d3-9b26-180adae325f0.jpg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-8469088166950410859/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
4983007501545021390,"['Service was very poor and food Quality was not upto mark ****', 'Fabulous hotel \nLocated very close to the sight seeing places , awesome food and amazing ambiance and staff****', 'Stay was fabulous, very helpful****']",0.5786788356490433,0.11148068215698004,0.3098404901102185,3.0,htl_id_seo_4983007501545021390,HOTEL PLATINUM SHRAVASTI,Shravasti,32.0 km from Gonda,3700,+ ₹814 taxes & fees,Hotel,,"['https://r1imghtlak.ibcdn.com/4ef6febc2d4a11ea86ee0242ac110007.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/4ef6febc2d4a11ea86ee0242ac110007.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/4ef2e89a2d4a11ea929a0242ac110003.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/53762f302d4a11ea9ce10242ac110007.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/a64b67c23d1a11eaac880242ac110004.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/982a45243e7211eaa8b50242ac110002.jpg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-4983007501545021390/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
1150626173829728380,[],0.0,0.0,0.0,0.0,htl_id_seo_1150626173829728380,Tulip Inn Shravasti,Shravasti,32.1 km from Gonda,3816,+ ₹458 taxes & fees,Hotel,,"['https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-8d66910e7ad911ee82bb0a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-8d66910e7ad911ee82bb0a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-3233af8a7ae111ee92c40a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-8de6be247ad911eea4a20a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-cdd4f0c87ad911ee82bb0a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202311041156132709-cdf11e2e7ad911ee8b960a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-1150626173829728380/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
2112526796111411030,[],0.0,0.0,0.0,0.0,htl_id_seo_2112526796111411030,CITY PARADISE AC DELUX LODGE,Balrampur,32.4 km from Gonda,1300,+ ₹156 taxes & fees,Hotel,,"['https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202108031225214799-f07d30daf14811ebabba0a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202108031225214799-f07d30daf14811ebabba0a58a9feac02.jpg?output-quality=75&downsize=328:180&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202108031225214799-f007c426f14811eb8d130a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/d8abe352144811ecb4750a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/d8a4347c144811ecab360a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r2imghtlak.ibcdn.com/r2-mmt-htl-image/htl-imgs/202108031225214799-80ebba56f14911eb874d0a58a9feac02.jpg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-2112526796111411030/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
2037282469008321968,"[""it's a nice experience at a affordable prices****"", 'best hotel in affordable price****', 'clean and smelling****', 'Good room but no telephone stay to contact with recaption. Overall good hotel and nice place to stay here.****', 'Its average hotel room service is not good service....not value for money\nLight problem and no restaurant service****', 'service is not good****', 'stay is good at this hotel.\nyou can visit this hotel.****', '""Nice Place, Friendly staff""\nGood hotel in balrampur for stay in peacefull area.****', ""Nice stay over there.\nI like it because it's providing all facilities according to it's cost.****"", 'good Hotel for stay.****', '****', 'Bad service...restaurants are not available nearby.****', '****', 'nic a good times****', 'Hygenic , neat and clean rooms. Staff are freindly and very good in behaviours.****', 'nice****', 'Good hotel to stay in budget.\n\nthanks goibibo for helping us.****', 'Fooding facility is not available in this hotel.****', 'Food not provided by hotel at night. I have purchased from outdoor.****', '****']",0.6239999353974348,0.1482659017312385,0.22773415164001995,20.0,htl_id_seo_2037282469008321968,Hotel Avadh,Alijanpurva,32.7 km from Gonda,1200,+ ₹144 taxes & fees,Hotel,,"['https://r1imghtlak.ibcdn.com/9fab1486fc9b11e9b4500242ac110003.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/9fab1486fc9b11e9b4500242ac110003.jpeg?output-quality=75&downsize=328:180&output-format=webp', 'https://r1imghtlak.ibcdn.com/8a4b9ad485b411e88c1f02755708f0b3.jpeg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/8c91037485b411e8a2120a83569e7bbc.jpg?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/8de8e35485b411e88aeb0a806ece5db8.png?output-quality=75&downsize=200:113&output-format=webp', 'https://r1imghtlak.ibcdn.com/c93aab601e4a11eabb1f0242ac110002.jpeg?output-quality=75&downsize=200:113&output-format=webp']","https://www.goibibo.com/hotels/odin-hostels-hotel-in-jibhi-2037282469008321968/?hquery={%22ci%22:%2220240410%22,%22co%22:%2220240411%22,%22r%22:%221-2-0%22,%22ibp%22:%22%22}&cc=IN&vcid=4926068515457680357&locusId=CTJIBH&locusType=city&cityCode=CTJIBH"
